Эпохи, Потери
2.440000000000000000e+03,9.143041446805000305e-03
2.460000000000000000e+03,1.914495020173490047e-03
2.480000000000000000e+03,1.247453503310680389e-03
2.500000000000000000e+03,1.750764902681112289e-03
2.520000000000000000e+03,9.164887480437755585e-03
2.540000000000000000e+03,1.145007438026368618e-03
2.560000000000000000e+03,2.949827583506703377e-03
2.580000000000000000e+03,4.718196764588356018e-02
2.600000000000000000e+03,1.011795364320278168e-02
2.620000000000000000e+03,1.436058199033141136e-03
2.640000000000000000e+03,2.440044470131397247e-02
2.660000000000000000e+03,1.644815667532384396e-03
2.680000000000000000e+03,5.921074189245700836e-04
2.700000000000000000e+03,4.851423203945159912e-03
2.720000000000000000e+03,2.196199260652065277e-02
2.740000000000000000e+03,1.885620062239468098e-03
2.760000000000000000e+03,3.454024903476238251e-03
2.780000000000000000e+03,6.401611492037773132e-03
2.800000000000000000e+03,7.219801191240549088e-04
2.820000000000000000e+03,1.364849857054650784e-03
2.840000000000000000e+03,2.013997547328472137e-02
2.860000000000000000e+03,9.924864396452903748e-03
2.880000000000000000e+03,2.032108455896377563e-01
2.900000000000000000e+03,8.056843071244657040e-04
2.920000000000000000e+03,4.427157109603285789e-04
2.940000000000000000e+03,1.267931656911969185e-03
2.960000000000000000e+03,6.499147275462746620e-04
2.980000000000000000e+03,5.478675942867994308e-03
3.000000000000000000e+03,3.898990689776837826e-04
3.020000000000000000e+03,6.286913156509399414e-02
3.040000000000000000e+03,8.521804586052894592e-03
3.060000000000000000e+03,1.300398260354995728e-03
3.080000000000000000e+03,2.369650080800056458e-02
3.100000000000000000e+03,6.882761418819427490e-02
3.120000000000000000e+03,2.976452698931097984e-03
3.140000000000000000e+03,6.564988289028406143e-03
3.160000000000000000e+03,2.756960457190871239e-03
3.180000000000000000e+03,4.394813254475593567e-02
3.200000000000000000e+03,5.932949017733335495e-03
3.220000000000000000e+03,4.323315224610269070e-04
3.240000000000000000e+03,1.251952635357156396e-04
3.260000000000000000e+03,1.738899620249867439e-03
3.280000000000000000e+03,6.954196840524673462e-03
3.300000000000000000e+03,1.549758133478462696e-03
3.320000000000000000e+03,1.692774239927530289e-03
3.340000000000000000e+03,2.501595299690961838e-03
3.360000000000000000e+03,6.965543725527822971e-04
3.380000000000000000e+03,5.897523951716721058e-04
3.400000000000000000e+03,6.014237296767532825e-04
3.420000000000000000e+03,3.754777135327458382e-03
3.440000000000000000e+03,3.017727984115481377e-03
3.460000000000000000e+03,1.365675008855760098e-03
