y_point,force,p1,p2,p3,p4,p5,p6,p7
-0.79151,10,-0.1203440,-0.1172381,-0.1103021,-0.1027703,-0.0995894,-0.0982193,-0.0741847
-0.79151,15,-0.1805160,-0.1758572,-0.1654531,-0.1541554,-0.1493842,-0.1473289,-0.1112770
-0.79151,20,-0.2406880,-0.2344763,-0.2206042,-0.2055406,-0.1991789,-0.1964386,-0.1483694
-0.79151,25,-0.3008600,-0.2930953,-0.2757552,-0.2569258,-0.2489736,-0.2455482,-0.1854617
-0.79151,30,-0.3610321,-0.3517144,-0.3309063,-0.3083109,-0.2987684,-0.2946579,-0.2225541
-0.3272,5,-0.1575354,-0.1406792,-0.1132284,-0.0894207,-0.0732672,-0.0582621,-0.0355156
-0.3272,10,-0.3150709,-0.2813585,-0.2264568,-0.1788414,-0.1465344,-0.1165243,-0.0710312
-0.3272,15,-0.4726064,-0.4220377,-0.3396853,-0.2682621,-0.2198016,-0.1747865,-0.1065468
-0.3272,20,-0.6301419,-0.5627170,-0.4529137,-0.3576828,-0.2930688,-0.2330487,-0.1420624
-0.3272,25,-0.7876774,-0.7033963,-0.5661421,-0.4471035,-0.3663361,-0.2913109,-0.1775780
-0.3272,30,-0.9452129,-0.8440755,-0.6793705,-0.5365242,-0.4396033,-0.3495731,-0.2130937
